Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Atlético Madrid,34,20,8,6,49:29,20,48:20
2,FC Barcelona,34,18,10,6,41:21,20,46:22
3,Espanyol,34,17,11,6,48:27,21,45:23
4,Real Madrid,34,17,9,8,45:29,16,43:25
5,CD Castellón,34,13,9,12,44:38,6,35:33
6,Real Sociedad,34,13,8,13,37:39,-2,34:34
7,Valencia,34,12,10,12,37:33,4,34:34
8,Real Zaragoza,34,10,14,10,36:36,0,34:34
9,Athletic,34,12,9,13,41:38,3,33:35
10,CD Málaga,34,11,11,12,33:29,4,33:35
11,UD Las Palmas,34,11,9,14,38:44,-6,31:37
12,Real Oviedo,34,9,12,13,33:44,-11,30:38
13,Granada CF,34,9,11,14,25:32,-7,29:39
14,Sporting Gijón,34,11,7,16,32:37,-5,29:39
15,Celta de Vigo,34,10,9,15,30:37,-7,29:39
16,Real Betis,34,7,14,13,29:36,-7,28:40
17,Dep. La Coruña,34,7,13,14,22:44,-22,27:41
18,Burgos CF,34,9,6,19,36:63,-27,24:44
