Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Valencia,30,18,7,5,41:19,22,43:17
2,FC Barcelona,30,19,5,6,50:22,28,43:17
3,Atlético Madrid,30,17,8,5,51:20,31,42:18
4,Real Madrid,30,17,7,6,46:24,22,41:19
5,Athletic,30,14,7,9,40:31,9,35:25
6,Celta de Vigo,30,15,5,10,37:32,5,35:25
7,Sevilla FC,30,13,6,11,34:42,-8,32:28
8,Real Sociedad,30,10,9,11,23:27,-4,29:31
9,CD Málaga,30,8,12,10,27:32,-5,28:32
10,Granada CF,30,10,8,12,33:34,-1,28:32
11,Espanyol,30,8,9,13,18:25,-7,25:35
12,Sporting Gijón,30,10,5,15,35:44,-9,25:35
13,CE Sabadell ,30,8,5,17,28:49,-21,21:39
14,UD Las Palmas,30,5,10,15,33:42,-9,20:40
15,Elche CF,30,4,10,16,25:46,-21,18:42
16,Real Zaragoza,30,3,9,18,22:54,-32,15:45
