Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,16,10,4,55:26,29,42:18
2,FC Barcelona,30,15,9,6,48:29,19,39:21
3,UD Las Palmas,30,17,4,9,56:41,15,38:22
4,Valencia,30,13,8,9,52:38,14,34:26
5,Real Zaragoza,30,13,7,10,43:34,9,33:27
6,Atlético Madrid,30,12,9,9,38:32,6,33:27
7,Athletic,30,11,10,9,51:28,23,32:28
8,Pontevedra,30,12,7,11,36:41,-5,31:29
9,Espanyol,30,12,5,13,48:44,4,29:31
10,CD Málaga,30,9,9,12,29:37,-8,27:33
11,Elche CF,30,11,5,14,30:39,-9,27:33
12,CE Sabadell ,30,10,6,14,34:51,-17,26:34
13,Córdoba CF,30,11,3,16,35:57,-22,25:35
14,Real Sociedad,30,9,6,15,38:43,-5,24:36
15,Real Betis,30,8,4,18,30:58,-28,20:40
16,Sevilla FC,30,6,8,16,31:56,-25,20:40
