Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,38,23,9,6,76:29,47,55:21
2,Dep. La Coruña,38,20,11,7,68:32,36,51:25
3,Real Betis,38,15,16,7,46:25,21,46:30
4,FC Barcelona,38,18,10,10,60:45,15,46:30
5,Sevilla FC,38,16,11,11,55:41,14,43:33
6,Espanyol,38,14,15,9,51:35,16,43:33
7,Real Zaragoza,38,18,7,13,56:51,5,43:33
8,Athletic,38,16,10,12,39:42,-3,42:34
9,Real Oviedo,38,13,13,12,45:42,3,39:37
10,Valencia,38,13,12,13,53:48,5,38:38
11,Real Sociedad,38,12,14,12,56:44,12,38:38
12,Racing,38,13,10,15,42:47,-5,36:40
13,Celta de Vigo,38,11,14,13,36:48,-12,36:40
14,Atlético Madrid,38,13,9,16,56:54,2,35:41
15,CD Tenerife,38,13,9,16,57:57,0,35:41
16,SD Compostela,38,11,12,15,44:56,-12,34:42
17,Albacete,38,10,14,14,44:61,-17,34:42
18,Sporting Gijón,38,8,12,18,42:67,-25,28:48
19,Real Valladolid,38,8,9,21,25:63,-38,25:51
20,CD Logroñés,38,2,9,27,15:79,-64,13:63
