Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Atlético Madrid,30,18,8,4,54:20,34,44:16
2,Real Madrid,30,19,5,6,53:30,23,43:17
3,FC Barcelona,30,16,6,8,51:27,24,38:22
4,Real Zaragoza,30,14,8,8,47:29,18,36:24
5,Athletic,30,14,6,10,43:32,11,34:26
6,Elche CF,30,12,8,10,36:37,-1,32:28
7,Pontevedra,30,13,5,12,31:34,-3,31:29
8,Sevilla FC,30,9,9,12,27:38,-11,27:33
9,Valencia,30,11,5,14,40:35,5,27:33
10,UD Las Palmas,30,9,8,13,32:39,-7,26:34
11,Córdoba CF,30,10,5,15,34:42,-8,25:35
12,Espanyol,30,7,10,13,31:48,-17,24:36
13,CD Málaga,30,8,8,14,24:37,-13,24:36
14,CE Sabadell ,30,10,3,17,30:46,-16,23:37
15,RCD Mallorca,30,9,5,16,40:55,-15,23:37
16,Real Betis,30,7,9,14,36:60,-24,23:37
