Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,26,17,5,4,50:30,20,39:13
2,Real Madrid,26,18,2,6,68:35,33,38:14
3,Real Oviedo,26,13,5,8,50:48,2,31:21
4,Atl. Aviación,26,13,5,8,46:41,5,31:21
5,Valencia,26,12,6,8,61:35,26,30:22
6,Athletic,26,14,2,10,54:41,13,30:22
7,Sporting Gijón,26,9,6,11,42:46,-4,24:28
8,CD Castellón,26,10,4,12,43:50,-7,24:28
9,Espanyol,26,10,3,13,44:39,5,23:29
10,Sevilla FC,26,9,4,13,52:49,3,22:30
11,Real Murcia,26,7,5,14,40:58,-18,19:33
12,Granada CF,26,7,5,14,40:55,-15,19:33
13,CE Sabadell ,26,6,5,15,30:67,-37,17:35
14,Dep. La Coruña,26,5,7,14,36:62,-26,17:35
