Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,20,5,5,71:26,45,45:15
2,Atlético Madrid,30,16,10,4,78:43,35,42:18
3,FC Barcelona,30,17,4,9,69:38,31,38:22
4,Valencia,30,13,10,7,56:40,16,36:24
5,CA Osasuna,30,15,5,10,53:43,10,35:25
6,Athletic,30,14,4,12,56:48,8,32:28
7,Celta de Vigo,30,13,6,11,50:51,-1,32:28
8,Espanyol,30,11,6,13,48:46,2,28:32
9,Real Sociedad,30,10,7,13,38:44,-6,27:33
10,Sevilla FC,30,9,7,14,45:55,-10,25:35
11,UD Las Palmas,30,9,7,14,34:65,-31,25:35
12,Sporting Gijón,30,10,4,16,46:57,-11,24:36
13,Granada CF,30,11,2,17,35:53,-18,24:36
14,Real Zaragoza,30,8,8,14,39:52,-13,24:36
15,Real Valladolid,30,9,5,16,45:73,-28,23:37
16,Real Jaén CF,30,9,2,19,29:58,-29,20:40
