Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,38,29,6,3,106:41,65,93
2,FC Barcelona,38,28,6,4,116:37,79,90
3,Atlético Madrid,38,23,9,6,70:27,43,78
4,Sevilla FC,38,21,9,8,69:49,20,72
5,Villarreal,38,19,10,9,56:33,23,67
6,Real Sociedad,38,19,7,12,59:53,6,64
7,Athletic,38,19,6,13,53:43,10,63
8,Espanyol,38,15,11,12,49:50,-1,56
9,Alavés,38,14,13,11,41:43,-2,55
10,SD Eibar,38,15,9,14,56:51,5,54
11,Málaga CF,38,12,10,16,49:55,-6,46
12,Valencia,38,13,7,18,56:65,-9,46
13,Celta de Vigo,38,13,6,19,53:69,-16,45
14,UD Las Palmas,38,10,9,19,53:74,-21,39
15,Real Betis,38,10,9,19,41:64,-23,39
16,Dep. La Coruña,38,8,12,18,43:61,-18,36
17,CD Leganés,38,8,11,19,36:55,-19,35
18,Sporting Gijón,38,7,10,21,42:72,-30,31
19,CA Osasuna,38,4,10,24,40:94,-54,22
20,Granada CF,38,4,8,26,30:82,-52,20
