Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Valencia,26,18,4,4,73:32,41,40:12
2,Atl. Aviación,26,15,4,7,66:49,17,34:18
3,Sevilla FC,26,12,8,6,60:46,14,32:20
4,Real Oviedo,26,12,5,9,71:47,24,29:23
5,CD Castellón,26,13,3,10,42:36,6,29:23
6,Real Madrid,26,11,6,9,48:38,10,28:24
7,FC Barcelona,26,10,8,8,59:46,13,28:24
8,Granada CF,26,9,8,9,41:46,-5,26:26
9,CE Sabadell ,26,11,3,12,53:60,-7,25:27
10,Athletic,26,10,5,11,47:51,-4,25:27
11,Espanyol,26,9,5,12,42:50,-8,23:29
12,Dep. La Coruña,26,6,7,13,35:64,-29,19:33
13,Real Sociedad,26,5,7,14,34:54,-20,17:35
14,Celta de Vigo,26,2,5,19,23:75,-52,9:43
