Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Ath. Aviación,22,13,7,2,70:36,34,33:11
2,Athletic,22,13,5,4,49:24,25,31:13
3,Valencia,22,11,5,6,60:52,8,27:17
4,FC Barcelona,22,13,1,8,55:45,10,27:17
5,Sevilla FC,22,12,2,8,70:43,27,26:18
6,Real Madrid,22,11,2,9,51:38,13,24:20
7,Espanyol,22,10,2,10,50:54,-4,22:22
8,Real Oviedo,22,7,2,13,36:63,-27,16:28
9,Hércules CF,22,7,2,13,28:67,-39,16:28
10,Celta de Vigo,22,7,1,14,45:51,-6,15:29
11,Real Zaragoza,22,5,4,13,26:41,-15,14:30
12,Real Murcia,22,5,3,14,29:55,-26,13:31
