Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,23,9,6,87:37,50,55:21
2,Real Madrid,38,23,8,7,78:32,46,54:22
3,Atlético Madrid,38,24,5,9,67:35,32,53:23
4,Valencia,38,20,7,11,63:42,21,47:29
5,Real Sociedad,38,16,12,10,44:38,6,44:32
6,Real Zaragoza,38,17,7,14,40:41,-1,41:35
7,Albacete,38,16,8,14,45:47,-2,40:36
8,Sporting Gijón,38,15,8,15,37:43,-6,38:38
9,Burgos CF,38,12,13,13,40:43,-3,37:39
10,CD Logroñés,38,13,10,15,36:51,-15,36:40
11,Real Oviedo,38,14,8,16,41:46,-5,36:40
12,Sevilla FC,38,13,8,17,48:45,3,34:42
13,CD Tenerife,38,12,10,16,46:50,-4,34:42
14,Athletic,38,13,7,18,38:58,-20,33:43
15,CA Osasuna,38,10,13,15,30:40,-10,33:43
16,Espanyol,38,12,8,18,43:60,-17,32:44
17,Dep. La Coruña,38,8,15,15,37:48,-11,31:45
18,Cádiz CF,38,7,14,17,32:55,-23,28:48
19,Real Valladolid,38,7,13,18,31:53,-22,27:49
20,RCD Mallorca,38,10,7,21,30:49,-19,27:49
