Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,25,6,7,91:42,49,56:20
2,Dep. La Coruña,38,22,12,4,54:18,36,56:20
3,Real Zaragoza,38,19,8,11,71:47,24,46:30
4,Real Madrid,38,19,7,12,61:50,11,45:31
5,Athletic,38,16,11,11,61:47,14,43:33
6,Sevilla FC,38,15,12,11,56:42,14,42:34
7,Valencia,38,14,12,12,55:50,5,40:36
8,Racing,38,15,8,15,44:42,2,38:38
9,Real Oviedo,38,12,13,13,43:49,-6,37:39
10,CD Tenerife,38,15,6,17,50:57,-7,36:40
11,Real Sociedad,38,12,12,14,39:47,-8,36:40
12,Atlético Madrid,38,13,9,16,54:54,0,35:41
13,Albacete,38,10,15,13,49:58,-9,35:41
14,Sporting Gijón,38,15,5,18,42:57,-15,35:41
15,Celta de Vigo,38,11,11,16,41:51,-10,33:43
16,CD Logroñés,38,9,15,14,47:58,-11,33:43
17,Rayo Vallecano,38,9,13,16,40:58,-18,31:45
18,Real Valladolid,38,8,14,16,28:51,-23,30:46
19,UE Lleida,38,7,13,18,29:48,-19,27:49
20,CA Osasuna,38,8,10,20,34:63,-29,26:50
