Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,23,3,4,83:33,50,49:11
2,Atlético Madrid,30,14,9,7,61:36,25,37:23
3,Real Oviedo,30,15,3,12,52:46,6,33:27
4,Real Valladolid,30,15,3,12,51:53,-2,33:27
5,Real Zaragoza,30,14,4,12,54:39,15,32:28
6,FC Barcelona,30,11,9,10,45:36,9,31:29
7,Valencia,30,14,3,13,49:36,13,31:29
8,Elche CF,30,11,7,12,48:59,-11,29:31
9,Real Betis,30,12,4,14,41:47,-6,28:32
10,Athletic,30,10,8,12,41:40,1,28:32
11,Sevilla FC,30,11,5,14,40:55,-15,27:33
12,Córdoba CF,30,12,3,15,35:39,-4,27:33
13,RCD Mallorca,30,11,4,15,47:57,-10,26:34
14,Dep. La Coruña,30,11,3,16,33:48,-15,25:35
15,CA Osasuna,30,9,6,15,39:50,-11,24:36
16,CD Málaga,30,8,4,18,25:70,-45,20:40
