Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,21,5,4,64:18,46,47:13
2,Atlético Madrid,30,20,3,7,58:27,31,43:17
3,Real Zaragoza,30,19,2,9,60:37,23,40:20
4,Valencia,30,17,4,9,59:37,22,38:22
5,Córdoba CF,30,16,3,11,36:34,2,35:25
6,FC Barcelona,30,14,4,12,59:41,18,32:28
7,Athletic,30,13,6,11,36:41,-5,32:28
8,Elche CF,30,14,3,13,38:43,-5,31:29
9,UD Las Palmas,30,11,7,12,36:43,-7,29:31
10,Sevilla FC,30,11,4,15,38:50,-12,26:34
11,Espanyol,30,12,1,17,37:39,-2,25:35
12,Real Murcia,30,5,13,12,28:49,-21,23:37
13,Real Betis,30,8,7,15,33:45,-12,23:37
14,Levante,30,8,5,17,37:51,-14,21:39
15,Real Oviedo,30,7,6,17,22:54,-32,20:40
16,Dep. La Coruña,30,6,3,21,18:50,-32,15:45
