Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,34,16,15,3,61:36,25,47:21
2,Sporting Gijón,34,17,9,8,50:35,15,43:25
3,Atlético Madrid,34,14,13,7,55:37,18,41:27
4,Real Sociedad,34,18,5,11,53:36,17,41:27
5,FC Barcelona,34,16,6,12,69:37,32,38:30
6,UD Las Palmas,34,14,9,11,49:43,6,37:31
7,Espanyol,34,15,5,14,37:46,-9,35:33
8,Valencia,34,14,7,13,44:39,5,35:33
9,Athletic,34,12,10,12,56:46,10,34:34
10,UD Salamanca,34,13,8,13,36:40,-4,34:34
11,Sevilla FC,34,12,9,13,47:48,-1,33:35
12,Hércules CF,34,13,6,15,32:38,-6,32:36
13,Burgos CF,34,10,12,12,38:47,-9,32:36
14,Real Zaragoza,34,12,6,16,56:59,-3,30:38
15,Rayo Vallecano,34,9,11,14,31:54,-23,29:39
16,Celta de Vigo,34,9,10,15,35:55,-20,28:40
17,Racing,34,9,4,21,37:63,-26,22:46
18,Recr. Huelva,34,8,5,21,39:66,-27,21:47
