Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,26,15,7,4,65:31,34,37:15
2,Valencia,26,15,4,7,59:34,25,34:18
3,Atlético Madrid,26,13,7,6,73:45,28,33:19
4,Celta de Vigo,26,14,3,9,59:48,11,31:21
5,Sevilla FC,26,12,5,9,50:40,10,29:23
6,Athletic,26,12,4,10,56:44,12,28:24
7,Gimnàstic,26,10,4,12,49:55,-6,24:28
8,Espanyol,26,9,6,11,39:47,-8,24:28
9,Real Oviedo,26,9,5,12,49:57,-8,23:29
10,CD Alcoyano,26,9,4,13,40:52,-12,22:30
11,Real Madrid,26,7,7,12,41:56,-15,21:31
12,CE Sabadell ,26,9,3,14,41:62,-21,21:31
13,Real Sociedad,26,8,3,15,38:56,-18,19:33
14,Sporting Gijón,26,7,4,15,37:69,-32,18:34
