Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,25,9,4,73:29,44,84
2,Real Madrid,38,25,5,8,71:32,39,80
3,Villarreal,38,18,11,9,69:37,32,65
4,Real Betis,38,16,14,8,62:50,12,62
5,Espanyol,38,17,10,11,54:46,8,61
6,Sevilla FC,38,17,9,12,44:41,3,60
7,Valencia,38,14,16,8,54:39,15,58
8,Dep. La Coruña,38,12,15,11,46:50,-4,51
9,Athletic,38,14,9,15,59:54,5,51
10,Real Zaragoza,38,14,8,16,52:57,-5,50
11,Atlético Madrid,38,13,11,14,40:34,6,50
12,Málaga CF,38,14,7,17,38:48,-10,49
13,Getafe,38,12,11,15,38:46,-8,47
14,Real Sociedad,38,13,8,17,47:56,-9,47
15,CA Osasuna,38,12,10,16,46:65,-19,46
16,Racing,38,12,9,17,41:56,-15,45
17,RCD Mallorca,38,10,9,19,42:63,-21,39
18,Levante,38,9,10,19,39:58,-19,37
19,CD Numancia,38,6,11,21,30:61,-31,29
20,Albacete,38,6,10,22,33:56,-23,28
