Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,30,19,4,7,82:43,39,42:18
2,Valencia,30,16,8,6,66:42,24,40:20
3,Real Madrid,30,18,3,9,67:49,18,39:21
4,Espanyol,30,16,4,10,64:40,24,36:24
5,Sevilla FC,30,16,2,12,70:57,13,34:26
6,Athletic,30,14,4,12,83:52,31,32:28
7,Sporting Gijón,30,11,8,11,39:54,-15,30:30
8,Atlético Madrid,30,13,4,13,65:70,-5,30:30
9,Real Oviedo,30,12,5,13,63:62,1,29:31
10,Real Sociedad,30,10,8,12,54:61,-7,28:32
11,Racing,30,11,5,14,46:61,-15,27:33
12,Celta de Vigo,30,10,5,15,54:69,-15,25:35
13,Real Valladolid,30,10,5,15,48:54,-6,25:35
14,Dep. La Coruña,30,9,6,15,49:78,-29,24:36
15,CD Málaga,30,10,2,18,47:69,-22,22:38
16,Real Zaragoza,30,6,5,19,38:74,-36,17:43
