Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Athletic,34,20,9,5,53:30,23,49:19
2,Real Madrid,34,22,5,7,59:37,22,49:19
3,FC Barcelona,34,20,8,6,62:28,34,48:20
4,Atlético Madrid,34,17,8,9,53:47,6,42:26
5,Real Betis,34,17,4,13,45:40,5,38:30
6,Real Sociedad,34,14,9,11,43:35,8,37:31
7,Real Zaragoza,34,12,11,11,50:41,9,35:33
8,Sevilla FC,34,13,8,13,42:43,-1,34:34
9,CD Málaga,34,11,11,12,41:35,6,33:35
10,Espanyol,34,10,13,11,42:44,-2,33:35
11,Valencia,34,12,8,14,45:47,-2,32:36
12,Real Murcia,34,10,12,12,42:38,4,32:36
13,Sporting Gijón,34,11,8,15,38:47,-9,30:38
14,Real Valladolid,34,11,7,16,44:60,-16,29:39
15,CA Osasuna,34,11,6,17,30:44,-14,28:40
16,Cádiz CF,34,6,10,18,36:51,-15,22:46
17,RCD Mallorca,34,3,15,16,27:56,-29,21:47
18,UD Salamanca,34,5,10,19,30:59,-29,20:48
