Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Atlético Madrid,34,19,8,7,62:33,29,46:22
2,FC Barcelona,34,18,9,7,69:34,35,45:23
3,Athletic,34,15,8,11,55:45,10,38:30
4,UD Las Palmas,34,15,6,13,56:51,5,36:32
5,Real Betis,34,15,6,13,42:42,0,36:32
6,Espanyol,34,14,8,12,61:59,2,36:32
7,Valencia,34,13,10,11,53:47,6,36:32
8,Real Sociedad,34,13,8,13,54:41,13,34:34
9,Real Madrid,34,12,10,12,57:53,4,34:34
10,Sevilla FC,34,11,12,11,32:39,-7,34:34
11,Elche CF,34,11,11,12,45:47,-2,33:35
12,UD Salamanca,34,13,6,15,30:34,-4,32:36
13,Hércules CF,34,11,10,13,35:41,-6,32:36
14,Burgos CF,34,14,4,16,46:50,-4,32:36
15,Racing,34,12,7,15,41:62,-21,31:37
16,Real Zaragoza,34,10,10,14,42:51,-9,30:38
17,Celta de Vigo,34,9,11,14,22:40,-18,29:39
18,CD Málaga,34,6,6,22,27:60,-33,18:50
