Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Atlético Madrid,42,26,9,7,75:32,43,87
2,Valencia,42,26,5,11,77:51,26,83
3,FC Barcelona,42,22,14,6,72:39,33,80
4,Espanyol,42,20,14,8,63:36,27,74
5,CD Tenerife,42,20,12,10,69:54,15,72
6,Real Madrid,42,20,10,12,75:51,24,70
7,Real Sociedad,42,17,12,13,62:53,9,63
8,Real Betis,42,16,14,12,61:54,7,62
9,Dep. La Coruña,42,16,13,13,63:44,19,61
10,SD Compostela,42,17,8,17,47:54,-7,59
11,Celta de Vigo,42,12,16,14,49:51,-2,52
12,Sevilla FC,42,11,15,16,43:55,-12,48
13,Real Zaragoza,42,11,15,16,51:59,-8,48
14,Real Oviedo,42,12,12,18,48:67,-19,48
15,Athletic,42,11,15,16,44:55,-11,48
16,Real Valladolid,42,11,14,17,57:62,-5,47
17,Racing,42,11,14,17,47:69,-22,47
18,Sporting Gijón,42,13,7,22,51:60,-9,46
19,Rayo Vallecano,42,12,8,22,47:75,-28,44
20,Albacete,42,10,12,20,55:81,-26,42
21,CP Mérida,42,10,12,20,37:62,-25,42
22,UD Salamanca,42,8,9,25,53:82,-29,33
