Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,17,6,7,72:41,31,40:20
2,FC Barcelona,30,16,4,10,74:39,35,36:24
3,Valencia,30,14,6,10,69:51,18,34:26
4,Espanyol,30,14,6,10,50:36,14,34:26
5,Sevilla FC,30,15,2,13,57:49,8,32:28
6,Athletic,30,12,8,10,54:44,10,32:28
7,Dep. La Coruña,30,13,5,12,41:46,-5,31:29
8,Racing,30,12,7,11,53:61,-8,31:29
9,Celta de Vigo,30,12,5,13,47:54,-7,29:31
10,Real Sociedad,30,11,7,12,44:58,-14,29:31
11,Atlético Madrid,30,11,7,12,57:47,10,29:31
12,Real Valladolid,30,12,5,13,50:60,-10,29:31
13,CA Osasuna,30,12,4,14,46:54,-8,28:32
14,Real Jaén CF,30,11,6,13,55:70,-15,28:32
15,Real Oviedo,30,8,6,16,31:53,-22,22:38
16,Sporting Gijón,30,7,2,21,44:81,-37,16:44
