Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,22,2,6,61:23,38,46:14
2,FC Barcelona,30,19,4,7,74:38,36,42:18
3,Real Betis,30,15,7,8,47:36,11,37:23
4,Real Zaragoza,30,14,6,10,52:42,10,34:26
5,Elche CF,30,13,7,10,35:31,4,33:27
6,Valencia,30,16,0,14,53:47,6,32:28
7,Athletic,30,12,5,13,43:40,3,29:31
8,Atlético Madrid,30,10,9,11,37:34,3,29:31
9,Sevilla FC,30,9,11,10,33:38,-5,29:31
10,Levante,30,10,7,13,43:56,-13,27:33
11,Córdoba CF,30,10,6,14,32:38,-6,26:34
12,Real Murcia,30,11,4,15,41:54,-13,26:34
13,Espanyol,30,10,5,15,34:47,-13,25:35
14,Real Oviedo,30,10,5,15,27:42,-15,25:35
15,Pontevedra,30,8,5,17,30:45,-15,21:39
16,Real Valladolid,30,7,5,18,27:58,-31,19:41
