Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,25,8,5,87:34,53,58:18
2,Real Madrid,38,24,9,5,75:28,47,57:19
3,Dep. La Coruña,38,22,10,6,67:33,34,54:22
4,Valencia,38,19,10,9,60:33,27,48:28
5,CD Tenerife,38,15,14,9,59:47,12,44:32
6,Atlético Madrid,38,16,11,11,52:42,10,43:33
7,Sevilla FC,38,17,9,12,46:44,2,43:33
8,Athletic,38,17,6,15,53:49,4,40:36
9,Real Zaragoza,38,11,13,14,37:52,-15,35:41
10,CA Osasuna,38,12,10,16,42:41,1,34:42
11,Celta de Vigo,38,9,16,13,25:32,-7,34:42
12,Sporting Gijón,38,11,12,15,38:57,-19,34:42
13,Real Sociedad,38,13,8,17,46:59,-13,34:42
14,Rayo Vallecano,38,8,17,13,40:49,-9,33:43
15,CD Logroñés,38,11,11,16,32:48,-16,33:43
16,Real Oviedo,38,11,10,17,42:52,-10,32:44
17,Albacete,38,11,9,18,54:59,-5,31:45
18,Espanyol,38,9,11,18,40:56,-16,29:47
19,Cádiz CF,38,5,12,21,30:70,-40,22:54
20,Burgos CF,38,4,14,20,29:69,-40,22:54
