Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Valencia,26,18,4,4,85:39,46,40:12
2,Real Madrid,26,14,5,7,65:43,22,33:19
3,Atl. Aviación,26,14,5,7,50:44,6,33:19
4,Dep. La Coruña,26,12,4,10,36:37,-1,28:24
5,Celta de Vigo,26,11,6,9,53:58,-5,28:24
6,Sevilla FC,26,10,7,9,58:45,13,27:25
7,Athletic,26,10,7,9,55:41,14,27:25
8,CD Castellón,26,10,6,10,54:63,-9,26:26
9,Espanyol,26,10,6,10,49:42,7,26:26
10,Granada CF,26,10,5,11,64:52,12,25:27
11,Real Oviedo,26,8,7,11,42:63,-21,23:29
12,FC Barcelona,26,8,3,15,57:66,-9,19:33
13,Hércules CF,26,6,5,15,42:71,-29,17:35
14,Real Sociedad,26,5,2,19,31:77,-46,12:40
