Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,26,16,5,5,66:36,30,37:15
2,Valencia,26,16,3,7,78:47,31,35:17
3,Real Madrid,26,15,4,7,67:42,25,34:18
4,Atlético Madrid,26,15,4,7,54:32,22,34:18
5,Real Oviedo,26,13,4,9,50:43,7,30:22
6,Athletic,26,11,2,13,61:63,-2,24:28
7,Espanyol,26,10,4,12,51:46,5,24:28
8,Sevilla FC,26,11,1,14,35:40,-5,23:29
9,Gimnàstic,26,10,3,13,59:72,-13,23:29
10,Real Valladolid,26,10,2,14,38:59,-21,22:30
11,Dep. La Coruña,26,9,4,13,56:60,-4,22:30
12,Celta de Vigo,26,9,4,13,51:64,-13,22:30
13,CD Alcoyano,26,8,5,13,30:54,-24,21:31
14,CE Sabadell ,26,5,3,18,43:81,-38,13:39
