Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Atlético Madrid,30,17,6,7,87:50,37,40:20
2,Sevilla FC,30,17,4,9,79:46,33,38:22
3,Valencia,30,17,3,10,64:48,16,37:23
4,FC Barcelona,30,16,3,11,83:61,22,35:25
5,Real Sociedad,30,15,5,10,77:56,21,35:25
6,Real Valladolid,30,14,5,11,51:51,0,33:27
7,Athletic,30,15,3,12,88:56,32,33:27
8,Celta de Vigo,30,15,3,12,62:56,6,33:27
9,Real Madrid,30,13,5,12,80:71,9,31:29
10,Racing,30,12,6,12,49:60,-11,30:30
11,Espanyol,30,13,4,13,82:72,10,30:30
12,Dep. La Coruña,30,13,4,13,64:47,17,30:30
13,CD Málaga,30,12,5,13,55:52,3,29:31
14,Real Murcia,30,8,3,19,40:86,-46,19:41
15,CD Alcoyano,30,6,2,22,36:92,-56,14:46
16,UE Lleida,30,6,1,23,41:134,-93,13:47
