Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,19,9,2,58:22,36,47:13
2,FC Barcelona,30,20,2,8,58:29,29,42:18
3,Espanyol,30,15,7,8,50:40,10,37:23
4,Atlético Madrid,30,14,7,9,57:30,27,35:25
5,Real Zaragoza,30,14,6,10,51:50,1,34:26
6,Valencia,30,14,4,12,58:37,21,32:28
7,Athletic,30,11,9,10,43:36,7,31:29
8,CE Sabadell ,30,11,8,11,35:38,-3,30:30
9,Elche CF,30,9,9,12,41:50,-9,27:33
10,Pontevedra,30,9,9,12,28:32,-4,27:33
11,UD Las Palmas,30,8,10,12,32:38,-6,26:34
12,Córdoba CF,30,9,8,13,28:44,-16,26:34
13,Sevilla FC,30,9,7,14,28:47,-19,25:35
14,Granada CF,30,8,7,15,32:46,-14,23:37
15,Hércules CF,30,6,8,16,32:60,-28,20:40
16,Dep. La Coruña,30,7,4,19,25:57,-32,18:42
