Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,30,24,3,3,96:26,70,51:9
2,Real Madrid,30,21,5,4,89:29,60,47:13
3,Athletic,30,17,2,11,72:33,39,36:24
4,Valencia,30,13,7,10,47:41,6,33:27
5,Atlético Madrid,30,13,6,11,58:48,10,32:28
6,Real Betis,30,14,4,12,54:53,1,32:28
7,Espanyol,30,11,7,12,42:45,-3,29:31
8,CA Osasuna,30,12,4,14,44:59,-15,28:32
9,Real Zaragoza,30,12,4,14,47:60,-13,28:32
10,Real Sociedad,30,9,10,11,32:33,-1,28:32
11,Real Oviedo,30,11,5,14,31:49,-18,27:33
12,Sevilla FC,30,12,2,16,44:58,-14,26:34
13,Granada CF,30,11,4,15,30:43,-13,26:34
14,UD Las Palmas,30,10,4,16,43:69,-26,24:36
15,Sporting Gijón,30,7,6,17,25:70,-45,20:40
16,Celta de Vigo,30,4,5,21,21:59,-38,13:47
