Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,44,27,12,5,84:37,47,66:22
2,FC Barcelona,44,24,15,5,63:29,34,63:25
3,Espanyol,44,20,11,13,66:46,20,51:37
4,Atlético Madrid,44,18,11,15,58:54,4,47:41
5,Real Sociedad,44,19,9,16,59:54,5,47:41
6,Sporting Gijón,44,16,13,15,58:50,8,45:43
7,Real Betis,44,18,9,17,61:59,2,45:43
8,Real Zaragoza,44,15,14,15,46:47,-1,44:44
9,Athletic,44,15,12,17,51:50,1,42:46
10,RCD Mallorca,44,15,12,17,48:65,-17,42:46
11,Real Murcia,44,17,7,20,50:63,-13,41:47
12,Real Valladolid,44,15,11,18,42:45,-3,41:47
13,UD Las Palmas,44,16,9,19,59:67,-8,41:47
14,CA Osasuna,45,13,14,18,42:48,-6,40:50
15,Sevilla FC,44,14,11,19,51:53,-2,39:49
16,CE Sabadell ,44,12,14,18,38:59,-21,38:50
17,Racing,46,12,10,24,47:69,-22,34:58
18,Cádiz CF,45,10,10,25,32:60,-28,30:60
