Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Dep. La Coruña,38,21,6,11,66:44,22,69
2,FC Barcelona,38,19,7,12,70:46,24,64
3,Valencia,38,18,10,10,59:39,20,64
4,Real Zaragoza,38,16,15,7,60:40,20,63
5,Real Madrid,38,16,14,8,58:48,10,62
6,Alavés,38,17,10,11,41:37,4,61
7,Celta de Vigo,38,15,8,15,45:43,2,53
8,Real Valladolid,38,14,11,13,36:44,-8,53
9,Rayo Vallecano,38,15,7,16,51:53,-2,52
10,RCD Mallorca,38,14,9,15,52:45,7,51
11,Athletic,38,12,14,12,47:57,-10,50
12,Málaga CF,38,11,15,12,55:50,5,48
13,Real Sociedad,38,11,14,13,42:49,-7,47
14,Espanyol,38,12,11,15,51:48,3,47
15,Racing,38,10,16,12,52:50,2,46
16,Real Oviedo,38,11,12,15,44:60,-16,45
17,CD Numancia,38,11,12,15,47:59,-12,45
18,Real Betis,38,11,9,18,33:56,-23,42
19,Atlético Madrid,38,9,11,18,48:64,-16,38
20,Sevilla FC,38,5,13,20,42:67,-25,28
