Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,30,19,5,6,92:43,49,43:17
2,Athletic,30,17,6,7,78:46,32,40:20
3,Real Madrid,30,16,6,8,79:50,29,38:22
4,Atlético Madrid,30,16,5,9,80:57,23,37:23
5,Valencia,30,15,5,10,68:51,17,35:25
6,Sevilla FC,30,14,4,12,69:57,12,32:28
7,Espanyol,30,14,4,12,69:62,7,32:28
8,Real Valladolid,30,9,11,10,47:43,4,29:31
9,Celta de Vigo,30,12,3,15,64:66,-2,27:33
10,Real Sociedad,30,11,4,15,60:59,1,26:34
11,Dep. La Coruña,30,10,5,15,46:70,-24,25:35
12,Real Zaragoza,30,10,5,15,54:73,-19,25:35
13,Sporting Gijón,30,10,5,15,49:75,-26,25:35
14,Racing,30,9,7,14,45:65,-20,25:35
15,UD Las Palmas,30,9,4,17,36:85,-49,22:38
16,Atlético Tetuán,30,7,5,18,51:85,-34,19:41
