Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,19,5,6,58:24,34,43:17
2,FC Barcelona,30,18,4,8,81:46,35,40:20
3,Atlético Madrid,30,15,6,9,50:36,14,36:24
4,Real Zaragoza,30,15,5,10,70:51,19,35:25
5,Athletic,30,12,8,10,52:38,14,32:28
6,Sevilla FC,30,12,7,11,48:45,3,31:29
7,Valencia,30,12,7,11,50:50,0,31:29
8,Elche CF,30,10,9,11,52:52,0,29:31
9,Real Betis,30,10,8,12,39:51,-12,28:32
10,Real Oviedo,30,10,7,13,27:47,-20,27:33
11,RCD Mallorca,30,11,5,14,30:47,-17,27:33
12,CA Osasuna,30,10,7,13,54:59,-5,27:33
13,Espanyol,30,8,10,12,45:55,-10,26:34
14,Racing,30,11,4,15,35:54,-19,26:34
15,Real Sociedad,30,9,5,16,37:49,-12,23:37
16,CD Tenerife,30,6,7,17,33:57,-24,19:41
