Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,34,21,8,5,75:24,51,50:18
2,Atlético Madrid,34,18,6,10,50:31,19,42:26
3,Real Zaragoza,34,16,8,10,51:38,13,40:28
4,Real Sociedad,34,16,7,11,46:45,1,39:29
5,Athletic,34,15,7,12,35:31,4,37:31
6,Granada CF,34,12,12,10,34:35,-1,36:32
7,CD Málaga,34,12,12,10,31:32,-1,36:32
8,Espanyol,34,13,8,13,34:38,-4,34:34
9,Real Madrid,34,13,8,13,48:38,10,34:34
10,Valencia,34,13,7,14,41:33,8,33:35
11,UD Las Palmas,34,14,5,15,28:35,-7,33:35
12,Celta de Vigo,34,12,6,16,43:49,-6,30:38
13,Sporting Gijón,34,13,4,17,49:59,-10,30:38
14,Elche CF,34,11,7,16,25:33,-8,29:39
15,Real Murcia,34,10,9,15,27:37,-10,29:39
16,CD Castellón,34,9,11,14,28:46,-18,29:39
17,Racing,34,8,11,15,36:54,-18,27:41
18,Real Oviedo,34,9,6,19,29:52,-23,24:44
