Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,38,28,6,4,95:26,69,62:14
2,Real Sociedad,38,22,7,9,61:33,28,51:25
3,Atlético Madrid,38,19,10,9,60:38,22,48:28
4,Athletic,38,17,12,9,50:43,7,46:30
5,CA Osasuna,38,15,10,13,40:34,6,40:36
6,FC Barcelona,38,15,9,14,49:44,5,39:37
7,Celta de Vigo,38,14,11,13,43:40,3,39:37
8,Real Valladolid,38,13,12,13,31:34,-3,38:38
9,Sporting Gijón,38,14,10,14,44:49,-5,38:38
10,Sevilla FC,38,13,11,14,41:46,-5,37:39
11,Real Zaragoza,38,11,14,13,54:56,-2,36:40
12,Cádiz CF,38,11,13,14,47:54,-7,35:41
13,CD Logroñés,38,12,9,17,28:45,-17,33:43
14,Valencia,38,10,13,15,44:53,-9,33:43
15,Espanyol,38,11,11,16,44:55,-11,33:43
16,Real Betis,38,14,5,19,42:54,-12,33:43
17,Real Murcia,38,9,13,16,31:42,-11,31:45
18,RCD Mallorca,38,9,12,17,35:50,-15,30:46
19,CE Sabadell ,38,9,11,18,27:48,-21,29:47
20,UD Las Palmas,38,12,5,21,43:65,-22,29:47
