Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,34,22,9,3,70:33,37,53:15
2,Real Sociedad,34,19,14,1,54:20,34,52:16
3,Sporting Gijón,34,16,7,11,47:34,13,39:29
4,FC Barcelona,34,13,12,9,42:33,9,38:30
5,Real Betis,34,12,12,10,42:40,2,36:32
6,Valencia,34,12,12,10,50:42,8,36:32
7,Athletic,34,15,5,14,52:44,8,35:33
8,Sevilla FC,34,14,6,14,50:47,3,34:34
9,UD Salamanca,34,13,8,13,37:37,0,34:34
10,AD Almería,34,11,11,12,42:50,-8,33:35
11,Real Zaragoza,34,13,7,14,43:40,3,33:35
12,UD Las Palmas,34,13,6,15,36:49,-13,32:36
13,Atlético Madrid,34,10,11,13,38:44,-6,31:37
14,Espanyol,34,9,12,13,28:37,-9,30:38
15,Hércules CF,34,8,12,14,36:39,-3,28:40
16,Rayo Vallecano,34,9,8,17,46:61,-15,26:42
17,CD Málaga,34,8,6,20,28:59,-31,22:46
18,Burgos CF,34,5,10,19,29:61,-32,20:48
