Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,38,25,12,1,91:37,54,62:14
2,FC Barcelona,38,23,11,4,80:26,54,57:19
3,Valencia,38,18,13,7,39:26,13,49:27
4,Atlético Madrid,38,19,8,11,69:45,24,46:30
5,Real Zaragoza,38,15,13,10,48:42,6,43:33
6,Real Valladolid,38,18,7,13,40:31,9,43:33
7,Athletic,38,15,12,11,45:35,10,42:34
8,Celta de Vigo,38,14,11,13,42:48,-6,39:37
9,Sevilla FC,38,13,12,13,38:39,-1,38:38
10,CA Osasuna,38,13,11,14,39:43,-4,37:39
11,Real Sociedad,38,11,14,13,38:47,-9,36:40
12,Real Oviedo,38,12,11,15,41:48,-7,35:41
13,Sporting Gijón,38,13,9,16,42:42,0,35:41
14,CD Logroñés,38,9,16,13,25:37,-12,34:42
15,Cádiz CF,38,9,15,14,31:41,-10,33:43
16,CD Málaga,38,12,9,17,39:53,-14,33:43
17,Espanyol,38,7,16,15,29:44,-15,30:46
18,Real Betis,38,9,11,18,36:55,-19,29:47
19,Real Murcia,38,9,6,23,27:58,-31,24:52
20,Elche CF,38,4,7,27,29:71,-42,15:61
