Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,24,4,2,89:25,64,52:8
2,Atlético Madrid,30,17,6,7,57:35,22,40:20
3,Real Zaragoza,30,12,9,9,54:53,1,33:27
4,FC Barcelona,30,13,6,11,62:47,15,32:28
5,Valencia,30,11,10,9,46:42,4,32:28
6,Real Betis,30,11,8,11,42:44,-2,30:30
7,Athletic,30,12,6,12,42:41,1,30:30
8,Real Sociedad,30,10,10,10,37:46,-9,30:30
9,RCD Mallorca,30,12,4,14,38:41,-3,28:32
10,Espanyol,30,12,3,15,46:46,0,27:33
11,Sevilla FC,30,9,9,12,42:46,-4,27:33
12,Racing,30,11,4,15,42:47,-5,26:34
13,Real Oviedo,30,10,6,14,39:54,-15,26:34
14,Elche CF,30,9,7,14,48:75,-27,25:35
15,Real Valladolid,30,11,3,16,39:52,-13,25:35
16,Granada CF,30,5,7,18,32:61,-29,17:43
