Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Atlético Madrid,30,18,6,6,53:22,31,42:18
2,Athletic,30,17,7,6,44:20,24,41:19
3,Sevilla FC,30,14,7,9,39:32,7,35:25
4,FC Barcelona,30,13,9,8,40:31,9,35:25
5,Real Madrid,30,13,9,8,50:42,8,35:25
6,Valencia,30,15,5,10,35:23,12,35:25
7,Real Sociedad,30,15,3,12,47:37,10,33:27
8,Real Zaragoza,30,13,7,10,35:39,-4,33:27
9,UD Las Palmas,30,10,7,13,32:40,-8,27:33
10,Celta de Vigo,30,10,7,13,31:39,-8,27:33
11,Elche CF,30,8,10,12,32:44,-12,26:34
12,Granada CF,30,8,10,12,20:31,-11,26:34
13,CE Sabadell ,30,10,5,15,31:37,-6,25:35
14,Dep. La Coruña,30,8,9,13,25:32,-7,25:35
15,RCD Mallorca,30,7,8,15,33:52,-19,22:38
16,Pontevedra,30,4,5,21,20:46,-26,13:47
