Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Athletic,26,16,4,6,73:38,35,36:16
2,Sevilla FC,26,15,3,8,63:47,16,33:19
3,FC Barcelona,26,14,4,8,77:50,27,32:20
4,CD Castellón,26,13,5,8,41:43,-2,31:21
5,Celta de Vigo,26,14,2,10,52:50,2,30:22
6,Real Oviedo,26,12,4,10,53:63,-10,28:24
7,Valencia,26,10,7,9,58:45,13,27:25
8,Atl. Aviación,26,11,5,10,54:44,10,27:25
9,Dep. La Coruña,26,7,12,7,35:32,3,26:26
10,Real Madrid,26,10,5,11,52:50,2,25:27
11,Espanyol,26,9,6,11,45:51,-6,24:28
12,Granada CF,26,9,4,13,56:68,-12,22:30
13,Real Zaragoza,26,2,9,15,25:57,-32,13:39
14,Real Betis,26,2,6,18,28:74,-46,10:42
