Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Sociedad,34,19,7,8,52:29,23,45:23
2,Real Madrid,34,20,5,9,66:37,29,45:23
3,Atlético Madrid,34,16,10,8,46:39,7,42:26
4,Valencia,34,17,8,9,59:41,18,42:26
5,FC Barcelona,34,18,5,11,66:41,25,41:27
6,Real Betis,34,17,6,11,55:38,17,40:28
7,Sporting Gijón,34,14,10,10,58:40,18,38:30
8,Sevilla FC,34,14,9,11,34:42,-8,37:31
9,Athletic,34,14,7,13,64:53,11,35:33
10,Espanyol,34,14,6,14,37:42,-5,34:34
11,CA Osasuna,34,12,8,14,35:46,-11,32:36
12,Real Valladolid,34,9,13,12,40:46,-6,31:37
13,Hércules CF,34,10,10,14,42:48,-6,30:38
14,Real Zaragoza,34,9,11,14,31:44,-13,29:39
15,UD Las Palmas,34,12,4,18,47:61,-14,28:40
16,Real Murcia,34,8,7,19,35:49,-14,23:45
17,UD Salamanca,34,7,7,20,32:67,-35,21:47
18,AD Almería,34,6,7,21,30:66,-36,19:49
