Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,25,7,6,74:33,41,57:19
2,Atlético Madrid,38,17,13,8,52:28,24,47:29
3,Real Madrid,38,20,6,12,63:37,26,46:30
4,CA Osasuna,38,15,15,8,43:34,9,45:31
5,Sporting Gijón,38,16,12,10,50:37,13,44:32
6,Real Oviedo,38,13,16,9,36:35,1,42:34
7,Valencia,38,15,10,13,44:40,4,40:36
8,Sevilla FC,38,15,8,15,45:47,-2,38:38
9,Real Valladolid,38,12,13,13,38:40,-2,37:39
10,CD Logroñés,38,13,11,14,28:35,-7,37:39
11,Burgos CF,38,10,17,11,32:27,5,37:39
12,Athletic,38,15,6,17,41:50,-9,36:40
13,Real Sociedad,38,11,14,13,39:45,-6,36:40
14,CD Tenerife,38,14,7,17,37:53,-16,35:41
15,RCD Mallorca,38,9,16,13,32:40,-8,34:42
16,Espanyol,38,12,10,16,39:47,-8,34:42
17,Real Zaragoza,38,11,11,16,36:40,-4,33:43
18,Cádiz CF,38,7,15,16,29:41,-12,29:47
19,CD Castellón,38,8,12,18,27:48,-21,28:48
20,Real Betis,38,6,13,19,37:65,-28,25:51
