Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,32,4,2,115:40,75,100
2,Real Madrid,38,26,7,5,103:42,61,85
3,Atlético Madrid,38,23,7,8,65:31,34,76
4,Real Sociedad,38,18,12,8,70:49,21,66
5,Valencia,38,19,8,11,67:54,13,65
6,Málaga CF,38,16,9,13,53:50,3,57
7,Real Betis,38,16,8,14,57:56,1,56
8,Rayo Vallecano,38,16,5,17,50:66,-16,53
9,Sevilla FC,38,14,8,16,58:54,4,50
10,Getafe,38,13,8,17,43:57,-14,47
11,Levante,38,12,10,16,40:57,-17,46
12,Athletic,38,12,9,17,44:65,-21,45
13,Espanyol,38,11,11,16,43:52,-9,44
14,Real Valladolid,38,11,10,17,49:58,-9,43
15,Granada CF,38,11,9,18,37:54,-17,42
16,CA Osasuna,38,10,9,19,33:50,-17,39
17,Celta de Vigo,38,10,7,21,37:52,-15,37
18,RCD Mallorca,38,9,9,20,43:72,-29,36
19,Dep. La Coruña,38,8,11,19,47:70,-23,35
20,Real Zaragoza,38,9,7,22,37:62,-25,34
