Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,34,22,3,9,77:40,37,47:21
2,FC Barcelona,34,16,9,9,49:29,20,41:27
3,Athletic,34,16,8,10,62:36,26,40:28
4,Valencia,34,16,7,11,54:33,21,39:29
5,Sporting Gijón,34,15,9,10,53:43,10,39:29
6,Atlético Madrid,34,16,4,14,61:52,9,36:32
7,UD Las Palmas,34,12,11,11,43:41,2,35:33
8,Sevilla FC,34,13,8,13,38:45,-7,34:34
9,UD Salamanca,34,14,6,14,37:40,-3,34:34
10,Rayo Vallecano,34,12,9,13,50:59,-9,33:35
11,Real Sociedad,34,12,9,13,52:46,6,33:35
12,Burgos CF,34,10,11,13,33:47,-14,31:37
13,Racing,34,11,9,14,29:45,-16,31:37
14,Espanyol,34,12,6,16,48:60,-12,30:38
15,Hércules CF,34,10,10,14,32:40,-8,30:38
16,Real Betis,34,11,8,15,51:52,-1,30:38
17,Elche CF,34,11,5,18,44:66,-22,27:41
18,Cádiz CF,34,7,8,19,30:69,-39,22:46
