Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Atlético Madrid,26,15,3,8,71:51,20,33:19
2,Dep. La Coruña,26,12,8,6,48:38,10,32:20
3,Valencia,26,12,7,7,71:43,28,31:21
4,Real Madrid,26,11,9,6,60:49,11,31:21
5,FC Barcelona,26,13,3,10,67:47,20,29:23
6,Athletic,26,12,5,9,72:66,6,29:23
7,Celta de Vigo,26,13,2,11,63:50,13,28:24
8,Real Sociedad,26,9,9,8,57:43,14,27:25
9,Real Valladolid,26,8,9,9,49:46,3,25:27
10,Sevilla FC,26,11,3,12,60:61,-1,25:27
11,Espanyol,26,8,6,12,42:64,-22,22:30
12,CD Málaga,26,8,5,13,44:51,-7,21:31
13,Gimnàstic,26,7,2,17,39:99,-60,16:36
14,Real Oviedo,26,4,7,15,30:65,-35,15:37
