Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,34,26,4,4,83:33,50,56:12
2,FC Barcelona,34,18,9,7,61:36,25,45:23
3,Athletic,34,17,9,8,44:31,13,43:25
4,Real Zaragoza,34,15,12,7,51:34,17,42:26
5,Atlético Madrid,34,17,8,9,53:38,15,42:26
6,Sporting Gijón,34,13,15,6,37:27,10,41:27
7,Real Sociedad,34,17,5,12,64:51,13,39:29
8,Real Betis,34,11,13,10,40:40,0,35:33
9,Sevilla FC,34,12,10,12,39:34,5,34:34
10,Real Valladolid,34,13,6,15,54:48,6,32:36
11,Espanyol,34,11,9,14,43:40,3,31:37
12,Racing,34,10,11,13,33:34,-1,31:37
13,UD Las Palmas,34,9,9,16,37:65,-28,27:41
14,CA Osasuna,34,9,9,16,24:33,-9,27:41
15,Cádiz CF,34,9,8,17,30:58,-28,26:42
16,Valencia,34,8,9,17,38:62,-24,25:43
17,Hércules CF,34,8,6,20,35:62,-27,22:46
18,Celta de Vigo,34,5,4,25,32:72,-40,14:54
