Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Sevilla FC,26,14,8,4,53:37,16,36:16
2,FC Barcelona,26,14,7,5,48:31,17,35:17
3,Athletic,26,14,5,7,63:38,25,33:19
4,Real Madrid,26,11,9,6,46:30,16,31:21
5,Real Oviedo,26,10,10,6,44:37,7,30:22
6,Valencia,26,9,10,7,44:36,8,28:24
7,Atl. Aviación,26,10,6,10,50:48,2,26:26
8,CD Castellón,26,11,4,11,38:54,-16,26:26
9,Sporting Gijón,26,9,7,10,37:39,-2,25:27
10,Celta de Vigo,26,9,3,14,57:56,1,21:31
11,Real Murcia,26,5,10,11,21:39,-18,20:32
12,Espanyol,26,6,7,13,41:53,-12,19:33
13,CD Alcoyano,26,7,5,14,39:54,-15,19:33
14,Hércules CF,26,5,5,16,30:59,-29,15:37
