Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,20,6,4,80:31,49,46:14
2,FC Barcelona,30,17,7,6,75:39,36,41:19
3,Athletic,30,15,9,6,78:39,39,39:21
4,Sevilla FC,30,15,4,11,74:58,16,34:26
5,Valencia,30,15,3,12,71:60,11,33:27
6,Hércules CF,30,11,9,10,46:57,-11,31:29
7,Dep. La Coruña,30,12,6,12,52:59,-7,30:30
8,Atlético Madrid,30,11,7,12,59:64,-5,29:31
9,Real Valladolid,30,11,5,14,48:56,-8,27:33
10,Celta de Vigo,30,10,7,13,55:60,-5,27:33
11,Alavés,30,11,5,14,51:62,-11,27:33
12,UD Las Palmas,30,10,7,13,45:69,-24,27:33
13,Espanyol,30,8,10,12,42:46,-4,26:34
14,Real Sociedad,30,9,6,15,48:53,-5,24:36
15,Racing,30,9,2,19,39:81,-42,20:40
16,CD Málaga,30,6,7,17,36:65,-29,19:41
