Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Sociedad,34,20,7,7,58:33,25,47:21
2,FC Barcelona,34,19,7,8,75:40,35,45:23
3,Real Madrid,34,18,8,8,57:34,23,44:24
4,Athletic,34,18,4,12,63:41,22,40:28
5,Valencia,34,17,5,12,54:46,8,39:29
6,Real Betis,34,15,6,13,53:44,9,36:32
7,Sevilla FC,34,15,5,14,52:39,13,35:33
8,Atlético Madrid,34,15,4,15,38:37,1,34:34
9,Real Valladolid,34,13,8,13,40:53,-13,34:34
10,Real Zaragoza,34,13,8,13,45:56,-11,34:34
11,CA Osasuna,34,14,6,14,45:45,0,34:34
12,Racing,34,12,8,14,41:52,-11,32:36
13,Espanyol,34,13,6,15,48:55,-7,32:36
14,Sporting Gijón,34,10,9,15,38:44,-6,29:39
15,UD Las Palmas,34,11,7,16,41:53,-12,29:39
16,Cádiz CF,34,13,3,18,31:47,-16,29:39
17,Hércules CF,34,11,5,18,41:52,-11,27:41
18,CD Castellón,34,3,6,25,33:82,-49,12:56
