Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Paris SG,38,23,10,5,66:33,33,56:20
2,FC Nantes,38,20,13,5,53:27,26,53:23
3,G. Bordeaux,38,18,13,7,55:46,9,49:27
4,Toulouse,38,18,7,13,59:44,15,43:33
5,Lens,38,15,13,10,51:43,8,43:33
6,FC Metz,38,15,12,11,53:34,19,42:34
7,AJ Auxerre,38,16,9,13,45:39,6,41:35
8,OGC Nice,38,14,11,13,39:44,-5,39:37
9,Monaco,38,9,19,10,49:42,7,37:39
10,LOSC Lille,38,13,10,15,40:49,-9,36:40
11,Stade Lavallois,38,11,13,14,39:47,-8,35:41
12,Marseille,38,11,12,15,43:39,4,34:42
13,Stade Rennais,38,12,10,16,36:41,-5,34:42
14,Brest Armorique,38,13,8,17,53:63,-10,34:42
15,FC Sochaux,38,11,12,15,47:57,-10,34:42
16,SC Toulon Var,38,9,15,14,43:46,-3,33:43
17,AC Le Havre,38,11,11,16,49:53,-4,33:43
18,AS Nancy,38,13,7,18,45:51,-6,33:43
19,R. Strasbourg,38,10,11,17,36:54,-18,31:45
20,SEC Bastia,38,5,10,23,30:79,-49,20:56
