Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Olympique Lyon,34,20,6,8,62:32,30,66
2,Lens,34,18,10,6,55:30,25,64
3,AJ Auxerre,34,16,11,7,48:38,10,59
4,Paris SG,34,15,13,6,43:24,19,58
5,LOSC Lille,34,15,11,8,39:32,7,56
6,G. Bordeaux,34,14,8,12,34:31,3,50
7,Troyes,34,13,8,13,40:35,5,47
8,FC Sochaux,34,12,10,12,41:40,1,46
9,Marseille,34,11,11,12,34:39,-5,44
10,FC Nantes,34,12,7,15,35:41,-6,43
11,SC Bastia,34,12,5,17,38:44,-6,41
12,Stade Rennais,34,11,8,15,40:51,-11,41
13,Montpellier,34,9,13,12,28:31,-3,40
14,CS Sedan,34,8,15,11,35:39,-4,39
15,Monaco,34,9,12,13,36:41,-5,39
16,Guingamp,34,9,8,17,34:57,-23,35
17,FC Metz,34,9,6,19,31:47,-16,33
18,FC Lorient,34,7,10,17,43:64,-21,31
