Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Monaco,38,22,11,5,58:28,30,55:21
2,G. Bordeaux,38,23,8,7,72:33,39,54:22
3,AJ Auxerre,38,20,8,10,58:33,25,48:28
4,Paris SG,38,18,11,9,56:37,19,47:29
5,Toulouse,38,19,7,12,57:41,16,45:31
6,FC Nantes,38,18,9,11,46:32,14,45:31
7,FC Sochaux,38,14,13,11,46:34,12,41:35
8,R. Strasbourg,38,11,17,10,36:38,-2,39:37
9,LOSC Lille,38,13,11,14,49:49,0,37:39
10,SEC Bastia,38,14,8,16,36:43,-7,36:40
11,Stade Lavallois,38,12,12,14,29:36,-7,36:40
12,FC Metz,38,13,9,16,49:53,-4,35:41
13,Lens,38,14,7,17,57:66,-9,35:41
14,Rouen,38,13,8,17,42:40,2,34:42
15,AS Nancy,38,10,12,16,38:53,-15,32:44
16,SC Toulon,38,12,8,18,39:60,-21,32:44
17,Brest Armorique,38,9,13,16,36:47,-11,31:45
18,Saint-Étienne,38,11,8,19,31:52,-21,30:46
19,Nîmes Olympique,38,6,13,19,36:70,-34,25:51
20,Stade Rennais,38,8,7,23,39:65,-26,23:53
