Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Marseille,38,20,13,5,56:35,21,53:23
2,Paris SG,38,19,13,6,45:26,19,51:25
3,Monaco,38,18,14,6,62:38,24,50:26
4,FC Sochaux,38,19,11,8,50:28,22,49:27
5,AJ Auxerre,38,18,9,11,41:32,9,45:31
6,FC Nantes,38,15,12,11,41:40,1,42:34
7,LOSC Lille,38,15,11,12,50:38,12,41:35
8,OGC Nice,38,16,9,13,45:40,5,41:35
9,Toulouse,38,12,15,11,44:46,-2,39:37
10,SC Toulon Var,38,12,14,12,30:29,1,38:38
11,Montpellier,38,14,10,14,51:53,-2,38:38
12,G. Bordeaux,38,12,13,13,54:46,8,37:39
13,Cannes,38,14,8,16,45:47,-2,36:40
14,Saint-Étienne,38,12,12,14,39:50,-11,36:40
15,FC Metz,38,12,11,15,47:49,-2,35:41
16,SM Caen,38,10,10,18,39:60,-21,30:46
17,RC Paris,38,10,9,19,49:56,-7,29:47
18,R. Strasbourg,38,10,9,19,47:59,-12,29:47
19,Stade Lavallois,38,8,11,19,33:55,-22,27:49
20,Lens,38,3,8,27,32:73,-41,14:62
