Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Monaco,38,20,12,6,53:29,24,52:24
2,G. Bordeaux,38,18,10,10,46:30,16,46:30
3,Montpellier,38,18,9,11,68:38,30,45:31
4,Saint-Étienne,38,18,6,14,54:56,-2,42:34
5,SC Toulon Var,38,14,13,11,41:26,15,41:35
6,Marseille,38,18,5,15,49:43,6,41:35
7,RC Paris,38,12,17,9,35:42,-7,41:35
8,FC Metz,38,16,8,14,46:40,6,40:36
9,AJ Auxerre,38,12,15,11,37:29,8,39:37
10,FC Nantes,38,13,13,12,46:41,5,39:37
11,LOSC Lille,38,14,9,15,45:39,6,37:39
12,Cannes,38,13,11,14,42:52,-10,37:39
13,Toulouse,38,14,7,17,35:47,-12,35:41
14,Stade Lavallois,38,12,10,16,38:38,0,34:42
15,Paris SG,38,12,10,16,36:45,-9,34:42
16,OGC Nice,38,15,3,20,42:47,-5,33:43
17,Lens,38,13,7,18,40:62,-22,33:43
18,FC Niort,38,11,10,17,34:42,-8,32:44
19,Brest Armorique,38,11,10,17,32:52,-20,32:44
20,AC Le Havre,38,8,11,19,35:56,-21,27:49
