Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Montpellier,38,25,7,6,68:34,34,82
2,Paris SG,38,23,10,5,75:41,34,79
3,LOSC Lille,38,21,11,6,72:39,33,74
4,Olympique Lyon,38,19,7,12,64:51,13,64
5,G. Bordeaux,38,16,13,9,53:41,12,61
6,Stade Rennais,38,17,9,12,53:44,9,60
7,Saint-Étienne,38,16,9,13,49:45,4,57
8,Toulouse,38,15,11,12,37:34,3,56
9,Thonon Évian,38,13,11,14,54:55,-1,50
10,Marseille,38,12,12,14,45:41,4,48
11,AS Nancy,38,11,12,15,38:48,-10,45
12,Valenciennes FC,38,12,7,19,40:50,-10,43
13,OGC Nice,38,10,12,16,39:46,-7,42
14,FC Sochaux,38,11,9,18,40:60,-20,42
15,Stade Brest 29,38,8,17,13,31:38,-7,41
16,AC Ajaccio,38,9,14,15,40:61,-21,41
17,FC Lorient,38,9,12,17,35:49,-14,39
18,SM Caen,38,9,11,18,39:59,-20,38
19,Dijon,38,9,9,20,38:63,-25,36
20,AJ Auxerre,38,7,13,18,46:57,-11,34
