Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Marseille,38,22,11,5,67:28,39,55:21
2,Monaco,38,20,11,7,51:30,21,51:25
3,AJ Auxerre,38,19,10,9,63:36,27,48:28
4,Cannes,38,12,17,9,32:28,4,41:35
5,Olympique Lyon,38,15,11,12,39:44,-5,41:35
6,LOSC Lille,38,11,17,10,39:37,2,39:37
7,Montpellier,38,12,14,12,44:35,9,38:38
8,SM Caen,38,13,12,13,38:36,2,38:38
9,G. Bordeaux,38,11,15,12,34:32,2,37:39
10,Brest Armorique,38,11,15,12,45:46,-1,37:39
11,Paris SG,38,12,13,13,40:42,-2,37:39
12,FC Metz,38,12,12,14,44:51,-7,36:40
13,Saint-Étienne,38,13,9,16,40:46,-6,35:41
14,SC Toulon Var,38,9,17,12,31:41,-10,35:41
15,OGC Nice,38,10,14,14,40:42,-2,34:42
16,FC Nantes,38,9,16,13,34:44,-10,34:42
17,AS Nancy,38,11,11,16,38:58,-20,33:43
18,FC Sochaux,38,8,16,14,24:33,-9,32:44
19,Toulouse,38,8,15,15,33:45,-12,31:45
20,Stade Rennais,38,7,14,17,29:51,-22,28:48
