Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Nantes,38,24,10,4,77:29,48,58:18
2,G. Bordeaux,38,20,8,10,67:48,19,48:28
3,Paris SG,38,20,7,11,66:49,17,47:29
4,Lens,38,18,8,12,64:55,9,44:32
5,Stade Lavallois,38,15,14,9,42:41,1,44:32
6,Monaco,38,14,15,9,55:35,20,43:33
7,AS Nancy,38,17,7,14,74:61,13,41:35
8,AJ Auxerre,38,12,14,12,56:48,8,38:38
9,FC Metz,38,13,11,14,66:67,-1,37:39
10,Brest Armorique,38,11,15,12,53:63,-10,37:39
11,Toulouse,38,15,6,17,52:66,-14,36:40
12,FC Sochaux,38,9,17,12,52:53,-1,35:41
13,LOSC Lille,38,13,8,17,38:45,-7,34:42
14,Saint-Étienne,38,11,12,15,41:52,-11,34:42
15,R. Strasbourg,38,11,11,16,40:51,-11,33:43
16,Rouen,38,11,10,17,45:54,-9,32:44
17,SEC Bastia,38,9,14,15,41:52,-11,32:44
18,FC Tours,38,12,7,19,58:68,-10,31:45
19,Olympique Lyon,38,11,6,21,57:77,-20,28:48
20,Mulhouse,38,10,8,20,46:76,-30,28:48
