Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Marseille,38,23,9,6,72:36,36,55:21
2,Paris SG,38,20,11,7,61:29,32,51:25
3,Monaco,38,21,9,8,56:29,27,51:25
4,G. Bordeaux,38,18,12,8,42:25,17,48:28
5,FC Nantes,38,17,11,10,54:39,15,45:31
6,AJ Auxerre,38,18,7,13,57:44,13,43:33
7,Saint-Étienne,38,13,17,8,34:26,8,43:33
8,R. Strasbourg,38,12,16,10,58:57,1,40:36
9,Lens,38,12,16,10,36:41,-5,40:36
10,Montpellier,38,12,12,14,36:41,-5,36:40
11,SM Caen,38,13,9,16,55:54,1,35:41
12,FC Metz,38,11,13,14,44:45,-1,35:41
13,Toulouse,38,9,16,13,36:45,-9,34:42
14,Olympique Lyon,38,9,15,14,40:45,-5,33:43
15,AC Le Havre,38,11,11,16,42:53,-11,33:43
16,FC Sochaux,38,11,10,17,33:50,-17,32:44
17,LOSC Lille,38,7,16,15,26:48,-22,30:46
18,US Valenciennes,38,9,11,18,42:57,-15,29:47
19,SC Toulon Var,38,6,13,19,31:57,-26,25:51
20,Nîmes Olympique,38,3,16,19,32:66,-34,22:54
