Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Marseille,38,22,9,7,75:34,41,53:23
2,G. Bordeaux,38,22,7,9,51:25,26,51:25
3,Monaco,38,15,16,7,38:24,14,46:30
4,FC Sochaux,38,17,9,12,46:39,7,43:33
5,Paris SG,38,18,6,14,50:48,2,42:34
6,AJ Auxerre,38,14,13,11,49:40,9,41:35
7,FC Nantes,38,14,13,11,43:34,9,41:35
8,Olympique Lyon,38,14,11,13,43:41,2,39:37
9,Brest Armorique,38,15,8,15,39:44,-5,38:38
10,Toulouse,38,13,11,14,39:40,-1,37:39
11,Cannes,38,12,12,14,44:50,-6,36:40
12,SC Toulon Var,38,12,11,15,35:50,-15,35:41
13,Montpellier,38,12,10,16,49:48,1,34:42
14,FC Metz,38,8,18,12,33:36,-3,34:42
15,Saint-Étienne,38,11,12,15,38:46,-8,34:42
16,SM Caen,38,12,10,16,34:48,-14,34:42
17,LOSC Lille,38,12,9,17,43:52,-9,33:43
18,OGC Nice,38,9,13,16,34:48,-14,31:45
19,Racing Paris 1,38,10,10,18,39:59,-20,30:46
20,Mulhouse S-A,38,9,10,19,42:58,-16,28:48
