Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Olympique Lyon,38,24,7,7,74:37,37,79
2,G. Bordeaux,38,22,9,7,65:38,27,75
3,Marseille,38,17,11,10,58:45,13,62
4,AS Nancy,38,15,15,8,44:30,14,60
5,Saint-Étienne,38,16,10,12,47:34,13,58
6,Stade Rennais,38,16,10,12,47:44,3,58
7,LOSC Lille,38,13,18,7,45:32,13,57
8,OGC Nice,38,13,16,9,35:30,5,55
9,Le Mans UC 72,38,14,11,13,46:49,-3,53
10,FC Lorient,38,12,16,10,32:35,-3,52
11,SM Caen,38,13,12,13,48:53,-5,51
12,Monaco,38,13,8,17,40:48,-8,47
13,Valenciennes FC,38,12,9,17,42:40,2,45
14,FC Sochaux,38,10,14,14,34:43,-9,44
15,AJ Auxerre,38,12,8,18,33:52,-19,44
16,Paris SG,38,10,13,15,37:45,-8,43
17,Toulouse,38,9,15,14,36:42,-6,42
18,Lens,38,9,13,16,43:52,-9,40
19,R. Strasbourg,38,9,8,21,34:55,-21,35
20,FC Metz,38,5,9,24,28:64,-36,24
