Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,G. Bordeaux,38,20,13,5,57:27,30,53:23
2,Marseille,38,18,13,7,52:33,19,49:27
3,Toulouse,38,18,12,8,54:32,22,48:28
4,AJ Auxerre,38,17,13,8,45:32,13,47:29
5,Monaco,38,15,15,8,41:33,8,45:31
6,FC Metz,38,14,15,9,54:32,22,43:33
7,Paris SG,38,14,13,11,35:33,2,41:35
8,Brest Armorique,38,14,12,12,43:41,2,40:36
9,Stade Lavallois,38,12,14,12,40:46,-6,38:38
10,Lens,38,11,15,12,37:40,-3,37:39
11,OGC Nice,38,15,7,16,38:49,-11,37:39
12,FC Nantes,38,12,12,14,35:38,-3,36:40
13,RC Paris,38,14,8,16,41:45,-4,36:40
14,LOSC Lille,38,12,10,16,39:38,1,34:42
15,SC Toulon Var,38,10,14,14,36:46,-10,34:42
16,Saint-Étienne,38,9,15,14,27:32,-5,33:43
17,AC Le Havre,38,8,16,14,39:50,-11,32:44
18,FC Sochaux,38,9,13,16,35:51,-16,31:45
19,AS Nancy,38,8,13,17,28:40,-12,29:47
20,Stade Rennais,38,5,7,26,20:58,-38,17:59
