Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Olympique Lyon,38,25,9,4,73:31,42,84
2,G. Bordeaux,38,18,15,5,43:25,18,69
3,LOSC Lille,38,16,14,8,56:31,25,62
4,Lens,38,14,18,6,48:34,14,60
5,Marseille,38,16,12,10,44:35,9,60
6,AJ Auxerre,38,17,8,13,50:39,11,59
7,Stade Rennais,38,18,5,15,48:49,-1,59
8,OGC Nice,38,16,10,12,36:31,5,58
9,Paris SG,38,13,13,12,44:38,6,52
10,Monaco,38,13,13,12,42:36,6,52
11,Le Mans UC 72,38,13,13,12,33:36,-3,52
12,AS Nancy,38,12,12,14,35:37,-2,48
13,Saint-Étienne,38,11,14,13,29:39,-10,47
14,FC Nantes,38,11,12,15,37:41,-4,45
15,FC Sochaux,38,11,11,16,34:47,-13,44
16,Toulouse,38,10,11,17,36:47,-11,41
17,Troyes,38,9,12,17,37:47,-10,39
18,AC Ajaccio,38,8,9,21,27:53,-26,33
19,R. Strasbourg,38,5,14,19,33:56,-23,29
20,FC Metz,38,6,11,21,26:59,-33,29
