Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,AJ Auxerre,38,22,6,10,66:30,36,72
2,Paris SG,38,19,11,8,65:36,29,68
3,Monaco,38,19,11,8,64:39,25,68
4,FC Metz,38,18,11,9,42:30,12,65
5,Lens,38,16,15,7,45:31,14,63
6,Montpellier,38,17,9,12,51:40,11,60
7,FC Nantes,38,14,13,11,44:42,2,55
8,Stade Rennais,38,13,15,10,44:41,3,54
9,R. Strasbourg,38,14,12,12,46:44,2,54
10,Guingamp,38,13,14,11,34:33,1,53
11,Olympique Lyon,38,10,18,10,41:41,0,48
12,OGC Nice,38,12,9,17,37:44,-7,45
13,AC Le Havre,38,11,12,15,33:45,-12,45
14,Cannes,38,12,8,18,45:51,-6,44
15,SC Bastia,38,12,8,18,45:55,-10,44
16,G. Bordeaux,38,11,9,18,44:52,-8,42
17,LOSC Lille,38,9,12,17,27:50,-23,39
18,FC Gueugnon,38,8,14,16,27:46,-19,38
19,Saint-Étienne,38,6,16,16,36:59,-23,34
20,FC Martigues,38,9,7,22,31:58,-27,34
