Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Monaco,38,24,7,7,70:29,41,55:21
2,Saint-Étienne,38,22,10,6,74:31,43,54:22
3,FC Sochaux,38,20,9,9,59:43,16,49:27
4,G. Bordeaux,38,19,10,9,55:45,10,48:28
5,Stade Lavallois,38,16,12,10,49:40,9,44:32
6,FC Nantes,38,19,5,14,64:34,30,43:33
7,Paris SG,38,17,9,12,58:45,13,43:33
8,AS Nancy,38,13,13,12,50:52,-2,39:37
9,St. Brest,38,14,10,14,48:57,-9,38:38
10,R. Strasbourg,38,12,12,14,41:41,0,36:40
11,FC Tours,38,14,7,17,61:59,2,35:41
12,SEC Bastia,38,12,11,15,43:65,-22,35:41
13,Lens,38,12,10,16,44:51,-7,34:42
14,LOSC Lille,38,13,8,17,46:54,-8,34:42
15,AJ Auxerre,38,11,12,15,43:58,-15,34:42
16,Olympique Lyon,38,13,6,19,38:46,-8,32:44
17,FC Metz,38,8,16,14,35:49,-14,32:44
18,US Valenciennes,38,10,10,18,40:59,-19,30:46
19,OGC Nice,38,7,9,22,34:57,-23,23:53
20,Montpellier,38,7,8,23,30:67,-37,22:54
